,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,Sample
31,4669.76501,1.006594286,0.032967033,44.37142857,1.068181818,47,2425,74.4506459,0.899501106,0.859210287,47.95879121,4.5,0.999188943,60,14,57.3,7,8,0.004419494,WBC
32,4746.82264,1.058530458,0.04494382,42.16666667,1.094117647,46.5,2465,72.46915054,0.863534907,0.877506541,47.56410256,4,0.997039596,66.4,7,52.1,4,5,0.011545828,WBC
33,4814.250395,1.036779432,0.078431373,45.0875,1.170212766,55,2500,82.87830566,0.87169347,0.840451183,45.16225962,5,0.994094072,42.6,9,57.8,4,5,0.01550118,WBC
34,4997.263663,1.213298354,0.104166667,40.6,1.23255814,53,2595,78.6055706,0.897343632,0.780594419,43.30448718,4,0.988637426,68.6,9,59.9,2,9,0.011680761,WBC
35,5238.073878,1.253707126,0.11827957,41.43333333,1.268292683,52,2720,82.54470844,0.781475157,0.922963407,45.84615385,4.5,0.997795555,51.5,6,61.8,10,13,0.007317073,WBC
36,5767.852999,0.998781378,0.073170732,33.64,1.157894737,44,2995,61.18499713,0.778086912,0.718975199,42.14615385,5.5,0.996327828,105,4,59.6,8,6,0.017952559,WBC
37,5844.91156,1.314308538,0.136612022,44.32857143,1.316455696,52,3035,91.66633349,0.83308892,0.890458926,49.41346154,5,0.99751414,62.3,4,58.9,13,7,0,WBC
38,5864.176899,1.102838476,0.105590062,46.2,1.236111111,44.5,3045,89.70556023,0.868931025,0.85835467,45.27644231,5,0.998752303,51.2,7,40.2,9,15,0,WBC
39,6172.412075,1.170672189,0.094736842,44.15714286,1.209302326,52,3205,83.87948013,0.901722992,0.904528241,50.33653846,4,0.988158188,59,9,53.6,7,5,0.039860465,WBC
40,6201.308221,1.387522402,0.173652695,37.85,1.420289855,49,3220,84.44282341,0.910081265,0.903187706,40.97435897,4.5,0.958272702,52.3,6,66.1,6,7,0.079406808,WBC
41,6422.853097,0.992592128,0.04,42.34,1.083333333,45.5,3335,72.04980952,0.895877373,0.892392005,41.76923077,4,0.997601679,45.8,4,48.9,5,4,0,WBC
42,6471.014582,1.143245524,0.085106383,45.41666667,1.186046512,51,3360,84.6129533,0.879909972,0.872167881,47.97916667,5,0.994150627,66.7,3,57.8,4,6,0.021540991,WBC
43,6596.235558,1.247766079,0.149425287,46.2,1.351351351,50,3425,98.06863554,0.786739692,0.437490856,55.02564103,5,0.992168238,276.2,5,56.1,10,8,0.049916597,WBC
44,6865.940057,1.2622515,0.34,39.46666667,1.281690141,67,3566,79.45722039,0.886399065,0.898164992,42.76282051,4.5,0.974527483,53.9,6,214.6,2,10,0,WBC
45,7097.117603,1.143844859,0.079365079,43.86666667,1.172413793,51,3685,80.78587454,0.891186902,0.891186902,46.8525641,5,0.999873753,59,8,68.6,5,8,0,WBC
46,7280.131802,0.959370118,0.035294118,42.65,1.073170732,44,3780,71.89649724,0.869763873,0.892715466,41.55769231,4.5,0.998747492,45.9,5,53.4,9,4,0,WBC
47,7482.41134,0.582625794,0.061452514,36.55,1.130952381,47.5,3885,64.93092316,0.384519858,0.886095855,57.74423077,5,0.999963601,68.4,8,50.7,10,10,0,WBC
48,7522.867993,1.169081414,0.078534031,44.45,1.170454545,51.5,3906,81.7233564,0.912920216,0.808629543,47.11378205,5,0.995233463,78.6,5,49.5,11,6,0.010606061,WBC
49,7626.896724,1.439649155,0.294736842,54.56666667,1.835820896,61.5,3960,157.3539359,0.745285769,0.791341833,49.42948718,4,0.918335772,79,9,115.4,6,1,0,WBC
50,7925.500162,0.976165674,0.079365079,33.35714286,1.172413793,51,4115,61.43129083,0.794970063,0.824885448,42.38461538,5,0.999969837,99.3,7,55.3,8,13,0.013346228,WBC
51,8062.278852,1.201940982,0.094972067,45.78,1.209876543,49,4186,87.00349966,0.886643455,0.853800449,47.675,4.5,0.999840586,60.7,10,54.7,9,1,0,WBC
52,8281.895891,1.416570771,0.677083333,40.2,1.454545455,161,4301,91.84874522,0.370622095,0.876944155,42.17307692,4,0.820245857,75.7,4,771.2,4,20,0,WBC
53,8387.85246,1.097271555,0.065420561,48.88571429,1.14,57,4355,87.54003049,0.913796597,0.913796597,53,4.5,0.998887551,58.8,6,59.4,5,5,0.012,WBC
54,8561.234921,1.090647379,0.075144509,39.46,1.1625,46.5,4445,72.0559618,0.897891004,0.819192947,44.71634615,5,0.998535782,126.7,5,48.2,14,6,0.012878788,WBC
55,8628.660813,1.288164341,0.147208122,42.85,1.345238095,56.5,4480,90.54612326,0.89564801,0.869538749,47.86778846,5,0.999884584,67,5,82.4,8,12,0.073356009,WBC
56,8792.411536,1.193024624,0.113513514,47.95714286,1.256097561,51.5,4565,94.62296458,0.78296342,0.831400679,49.64285714,5,0.999485674,70.6,8,57.7,7,7,0,WBC
57,8975.426666,1.205226545,0.13368984,48.64285714,1.308641975,53,4660,99.99074396,0.795638128,0.808828827,49.64148352,4,0.995148658,60,5,51.3,5,5,0.044524094,WBC
58,9052.485228,0.877713917,0.011904762,42.9,1.024096386,42.5,4700,69.01094947,0.818641302,0.851680433,41.47435897,4,0.999787428,49.5,9,38.6,15,0,0,WBC
59,9216.234088,1.124282525,0.077844311,42.54444444,1.168831169,45,4785,78.11141734,0.808799941,0.828361426,43.05662393,3,0.997655535,57.2,11,53,5,2,0,WBC
60,9813.440032,1.363299498,0.173333333,42.98333333,1.419354839,132,5095,95.83208816,0.888336686,0.828233848,49.44871795,5,0.95552035,69,4,779.3,4,14,0.058841463,WBC
61,10063.88199,1.117068503,0.098445596,39.7875,1.218390805,53,5225,76.14706021,0.873369511,0.861076104,45.85576923,4.5,0.991304877,74,3,65,5,11,0.030652174,WBC
62,10083.14639,1.251247907,0.113513514,44.1,1.256097561,51.5,5235,87.01253848,0.863569264,0.887373504,48.23076923,4.5,0.993480438,54.3,5,53.1,8,7,0.009661071,WBC
63,10131.30881,1.085810401,0.073684211,42.06,1.159090909,51,5260,76.57846293,0.798904131,0.843845368,47.06153846,5,0.999968725,67.3,11,56.9,6,6,0.004761905,WBC
64,10352.85275,2.003191216,0.396226415,42.15,2.044776119,111,5375,135.3827154,0.862745099,0.836678163,47.63942308,5,0.967368979,78.4,6,414.3,4,16,0.086507937,WBC
65,10372.11716,0.998726465,0.056818182,45.225,1.120481928,46.5,5385,79.59821133,0.836901163,0.871513153,45.88221154,4,0.99955416,44.6,9,44.7,10,8,0.006973027,WBC
66,10395.23538,1.317020516,0.563139932,45.3125,1.430434783,114.5,5397,101.8136396,0.840965844,0.714386454,46.21394231,3,0.953591843,52.4,6,673.9,7,25,0.013192905,WBC
67,10418.35267,1.114229147,0.058823529,42.35,1.125,49.5,5409,74.83862749,0.894850598,0.912577039,46.38942308,5,0.998439836,45.4,7,46.5,11,11,0.00530303,WBC
68,10622.55912,1.199812764,0.119170984,40.58333333,1.270588235,54,5515,80.99765059,0.872098848,0.916286832,47.46955128,5,0.996602012,61.9,5,48.3,13,9,0.004040404,WBC
69,10709.24941,1.223274351,0.228070175,60.8,1.590909091,70,5560,151.9388447,0.733609214,0.425498837,74.9475641,5.5,0.998545893,305.8,6,99.4,11,6,0,WBC
70,10795.93971,1.040599086,0.068181818,43.675,1.146341463,47,5605,78.64421683,0.851913337,0.862936897,43.31971154,4,0.997757946,44.9,6,51.5,10,4,0,WBC
71,10824.83772,1.171626984,0.081967213,44.43333333,1.178571429,49.5,5620,82.25923764,0.86825444,0.892983929,46.2724359,5,0.999645007,40.8,6,52.5,7,2,0,WBC
72,10901.89628,1.258700032,0.120418848,44.98333333,1.273809524,53.5,5660,90.00694119,0.906244174,0.911438557,48.6025641,5,0.997215403,53.4,10,83.2,7,8,0,WBC
73,11027.11726,1.256212991,0.142857143,41.78888889,1.333333333,46,5725,87.52244422,0.851697871,0.85556228,48.34188034,2,0.990511124,65.9,8,56.3,7,9,0.080666667,WBC
74,11046.38167,1.19550594,0.105882353,44.71666667,1.236842105,47,5735,86.87674895,0.880584876,0.873128791,45.8349359,4,0.998842983,40.1,11,58.8,8,13,0,WBC
75,11104.17582,1.096950414,0.508599509,40.93333333,1.202702703,153.5,5765,77.33129376,0.853641702,0.853058077,45.29166667,5,0.670411717,87.2,6,502.2,4,8,0,WBC
76,11171.60264,1.132849376,0.534090909,45.46,1.159090909,135,5800,82.76882845,0.880376175,0.872498877,50.21730769,4,0.697029524,65.8,6,632.9,4,5,0.426718404,WBC
77,11393.14659,1.101833662,0.083333333,43.65,1.181818182,45.5,5915,81.03167051,0.864695044,0.864695044,45.67307692,5,0.996832102,46.1,7,44.4,9,2,0,WBC
78,11566.52905,1.65928834,0.265822785,44.975,1.724137931,75,6005,121.8044221,0.905258424,0.891443829,50.31971154,5,0.991522935,60.8,10,125.9,3,17,0.00371998,WBC
79,11595.4252,1.137864562,0.073684211,43.675,1.159090909,51,6020,79.51888655,0.888617965,0.899181094,47.88221154,4,0.999852962,49.2,12,49.9,5,2,0,WBC
80,11749.54418,1.099007257,0.055276382,42.33333333,1.117021277,52.5,6100,74.27861354,0.866871344,0.882641913,45.31410256,5,0.99846819,46.4,8,56.3,10,11,0.008038423,WBC
81,11778.44126,1.201212202,0.105263158,37.6,1.235294118,42,6115,72.95886939,0.883278751,0.845978131,38.43990385,4,0.999787428,36.3,11,47,19,5,0.018162393,WBC
82,11836.23448,1.287794701,0.144329897,43.92,1.337349398,55.5,6145,92.26289866,0.867999235,0.875318989,47.37884615,5,0.996542459,54.9,8,69.4,8,12,0.024545245,WBC
83,11955.6766,1.158562882,0.115384615,42.11428571,1.260869565,43.5,6207,83.4102606,0.844031191,0.854220912,41.58791209,4.5,0.997488248,53.2,10,39.8,17,6,0.033992095,WBC
84,12026.95537,1.069451099,0.080745342,41.7,1.175675676,43.5,6244,77.00935127,0.88685534,0.907047786,41.56410256,5,0.999801835,42.8,11,46,9,6,0.009638554,WBC
85,12086.67643,1.185193117,0.108910891,52.95,1.244444444,56,6275,103.505006,0.863349791,0.912382144,53.68269231,5,0.999778735,38.9,15,64.4,5,6,0.002222222,WBC
86,12202.26381,1.345947574,0.164835165,47.15714286,1.394736842,53,6335,103.3141089,0.861573596,0.861573596,47.78159341,5,0.999445356,59.7,3,74.6,6,6,0.065154265,WBC
87,12260.05796,1.153673464,0.094736842,41.15,1.209302326,52,6366,78.16720884,0.911119167,0.90237926,44.46875,9,0.999141718,52.3,13,50.3,11,14,0,WBC
88,12317.85212,1.095917851,0.060240964,41.26666667,1.128205128,44,6395,73.13198078,0.839630575,0.81219937,44.6025641,5,0.999569143,58,4,37.7,15,3,0,WBC
89,12712.77945,1.13756348,0.121387283,45.06,1.276315789,48.5,6600,90.33773686,0.818167365,0.896480616,45.33269231,4,0.98713534,31.5,6,50.8,8,3,0,WBC
90,13021.01463,1.340488555,0.186813187,42.06666667,1.459459459,54,6760,96.43840367,0.878780447,0.901117456,41.42628205,4,0.974493312,41.9,13,103.1,8,20,0.015238095,WBC
91,13261.82298,1.506986932,0.209386282,44.75,1.529680365,167.5,6885,107.5260294,0.925623607,0.850685623,49.25240385,4,0.935480913,63.1,6,641.3,2,17,0.018227216,WBC
92,13600.88121,1.599374638,0.236768802,51.26,1.620437956,111,7061,130.4760757,0.913388647,0.874366836,52.58846154,5,0.917938601,74.5,6,775.1,4,10,0.043838384,WBC
93,13627.85231,1.209531459,0.153846154,37.56666667,1.363636364,45,7075,80.46761183,0.848083402,0.806155302,45.82532051,4,0.971042333,103.3,4,129.6,11,11,0,WBC
94,13897.55867,1.137602041,0.073446328,42.2,1.158536585,47.5,7215,76.79661554,0.902524242,0.902524242,47.06538462,5,0.996295331,60.6,12,46,12,6,0.030823529,WBC
95,14001.58741,0.981349858,0.036827195,40.68,1.076470588,91.5,7269,68.78646475,0.857750433,0.87880572,46.14230769,4,0.997966843,78.7,12,634.4,9,0,0,WBC
96,14022.77872,1.15172125,0.090909091,43.675,1.2,51,7280,82.32543549,0.869397169,0.844250283,47.66105769,5,0.990577763,77.8,10,51.7,4,3,0,WBC
97,14668.14708,1.345729629,0.153846154,47.92,1.363636364,60,7615,102.6444,0.843291491,0.872403453,50.49038462,5,0.999771392,62.9,7,72,3,12,0.020454545,WBC
98,14716.30763,1.290627967,0.136363636,45.76,1.315789474,50,7640,94.57847357,0.735237139,0.829337349,49.66346154,5,0.995513418,69.6,8,74.5,8,6,0.020005604,WBC
99,14739.42585,0.999269292,0.076923077,39.58333333,1.166666667,49,7652,72.54024704,0.844777887,0.866934285,46.38942308,5,0.999637612,79.1,5,56.3,13,8,0.013644791,WBC
100,14841.52954,1.174579618,0.511520737,40.13333333,1.219512195,164,7705,76.8796251,0.859348241,0.859348241,42.00961538,4,0.649116391,59.4,10,644.7,1,12,0.032430213,WBC
101,14908.9545,1.030491809,0.039106145,43.76666667,1.081395349,46.5,7740,74.34432894,0.887399287,0.845534992,47.42467949,4,0.994206373,72.4,6,37.3,13,6,0,WBC
102,15419.46921,1.208132996,0.104166667,46.7625,1.23255814,53,8005,90.53677329,0.795846271,0.835748738,50.09495192,3.5,0.999707975,62.3,8,57.7,8,5,0,WBC
103,16016.67609,1.135727468,0.085106383,43.03333333,1.186046512,51,8315,80.17271392,0.882206461,0.876628768,47.10576923,4.5,0.991147196,59.9,9,57.5,7,6,0,WBC
104,16141.89614,1.266099244,0.132075472,42.55,1.304347826,45,8380,87.17919614,0.905452454,0.840772812,42.9150641,4.5,0.999335309,66.5,4,47.2,13,7,0,WBC
105,16334.54394,1.168147043,0.129411765,44.84,1.297297297,48,8480,91.37449595,0.452899699,0.699125296,47.72307692,6,0.988105987,61.3,6,59.9,5,12,0.024407913,WBC
106,16396.19097,1.246553552,0.11827957,44.5,1.268292683,52,8512,88.6542122,0.901197442,0.08355642,47.14423077,15,0.997739262,59.8,4,68,9,8,0,WBC
107,16565.71962,1.226775645,0.108571429,37.24285714,1.243589744,48.5,8600,72.75117295,0.866274604,0.868863697,39.50824176,5,0.993491435,38.2,6,58,11,8,0,WBC
108,16692.8675,1.271134537,0.133640553,53.16666667,1.308510638,61.5,8666,109.2789636,0.912281607,0.912281607,56.52884615,5,0.998793242,62.9,3,65.7,6,8,0,WBC
109,16873.95573,1.11238926,0.068965517,43.96666667,1.148148148,46.5,8760,79.29418643,0.869536466,0.869536466,45.52403846,5,0.998855728,54.1,7,58.9,8,3,0,WBC
110,17143.66116,1.757955493,0.442477876,35.61666667,2.154929577,81.5,8900,120.5608305,0.707262542,0.351438439,43.96378621,5,0.989310888,198.1,9,239.5,2,14,0.001991219,WBC
111,17326.67536,1.054139401,0.046511628,34.66666667,1.097560976,45,8995,59.76688463,0.869943414,0.867446703,39.55128205,4,0.995134304,59.8,6,47.7,12,7,0.024450467,WBC
112,17500.05875,1.326255199,0.161904762,50.55,1.386363636,61,9085,110.0824776,0.865372807,0.835152091,51.33894231,5,0.995255916,66.2,4,96.5,4,8,0.023267974,WBC
113,17731.2335,1.016295517,0.058823529,33.5,1.125,36,9205,59.19938657,0.866358658,0.866358658,38.91346154,4.5,0.999504204,45.7,14,73.4,16,7,0,WBC
114,17769.76418,1.069866668,0.06779661,47.61666667,1.145454545,63,9225,85.67551565,0.763592038,0.836427331,48.93910256,5,0.994817538,62.4,6,92.1,5,2,0,WBC
115,17943.14571,1.227717355,0.108695652,45.6,1.243902439,51,9315,89.09863262,0.911039032,0.878959915,47.55357143,5,0.995542994,60.7,9,69.5,15,5,0.004074605,WBC
116,18077.99842,1.198509817,0.103092784,48.58571429,1.229885057,53.5,9385,93.86268947,0.832600477,0.817562005,51.47527473,5,0.997166805,74.6,8,71.4,4,3,0,WBC
117,18155.05698,1.217339216,0.12195122,38.32857143,1.277777778,46,9425,76.93037344,0.857677178,0.857677178,40.15659341,4.5,0.997655535,40.1,7,60.5,5,3,0,WBC
118,18578.8814,1.233419346,0.106598985,36.65,1.238636364,54.5,9645,71.30790575,0.225526073,0.843263012,41.35336538,4,0.998943078,116.8,6,67.9,5,13,0,WBC
119,18983.43954,1.132185073,0.106382979,49.6,1.238095238,52,9855,96.46185443,0.857959537,0.880762741,47.975,5,0.997601679,55.9,6,54.4,5,2,0,WBC
120,19099.02785,1.121169501,0.074468085,44.14285714,1.16091954,50.5,9915,80.49750831,0.850863245,0.89172058,47.48214286,5,0.999850007,60.8,8,66.6,7,8,0.003529981,WBC
121,19156.82293,1.326356438,0.142857143,43.68333333,1.333333333,52,9945,91.49015939,0.865645742,0.909107415,46.75320513,5,0.997801321,59.3,6,76.3,6,12,0.026735513,WBC
122,19176.08641,1.019838611,0.027932961,41.275,1.057471264,46,9955,68.56074588,0.770762242,0.879868535,43.06971154,5,0.999818872,44,8,43.1,9,3,0,WBC
123,19310.94006,1.367243705,0.164835165,47.35555556,1.394736842,53,10025,103.7488009,0.910362776,0.926265909,50.5042735,4,0.973032368,52.2,12,65.3,7,8,0.042669526,WBC
124,19465.05811,1.112828967,0.097560976,47.56666667,1.216216216,45,10105,90.8726902,0.786698115,0.822620162,46.96474359,5,0.997905028,46.8,2,63.6,3,12,0.026258433,WBC
125,19561.38108,1.472015089,0.251282051,43.38,1.671232877,61,10155,113.8797212,0.791362145,0.797960159,41.47884615,5,0.936363988,50.3,2,86.9,13,0,0,WBC
126,19763.66062,0.962530595,0.011764706,40.06666667,1.023809524,43,10260,64.43506266,0.862194236,0.862194236,41.37820513,4.5,0.999948703,47.5,10,49.5,4,0,0,WBC
127,19879.24892,1.891812865,0.954314721,48.9,1.944444444,192.5,10320,149.3565507,0.188904481,0.188904481,48.45192308,20,0.952515326,63.7,5,769.7,17,26,0,WBC
128,19994.8363,1.17807544,0.539936102,33.4,1.215909091,120.5,10380,63.79218083,0.88568181,0.793202122,39.80769231,5,0.803274979,144.6,1,534.1,16,14,0.047619048,WBC
129,20120.05821,1.150020191,0.666666667,46.95,1.188235294,80,10445,87.63103108,0.891649607,0.873194775,47.25961538,5,0.878114784,61.5,4,307.7,9,3,0,WBC
130,20148.95529,1.057781225,0.10982659,45.6,1.246753247,48,10460,89.30283117,0.877111876,0.839129811,44.93990385,4,0.997865339,53,5,66.2,5,11,0,WBC
131,20572.77877,1.560586934,0.263598326,41.65,1.715909091,75.5,10681,112.261065,0.913498751,0.888564621,50.25480769,4.5,0.984407212,80.5,15,125.7,6,20,0.020693358,WBC
132,20852.11687,1.26044537,0.119496855,40.73333333,1.271428571,44.5,10825,81.35079377,0.867831446,0.867831446,41.875,3,0.998405751,54.4,9,51.1,8,9,0.021139102,WBC
133,21073.66081,1.122435222,0.280788177,46.34,1.181818182,130,10940,86.02537484,0.892275918,0.892398213,47.225,5,0.885720695,53.6,14,793.1,7,7,0.006811594,WBC
134,21198.88179,1.202065912,0.09375,44.8,1.206896552,52.5,11005,84.93133243,0.877602549,0.88439502,48.28846154,4,0.998217337,62.5,4,56.2,9,4,0,WBC
135,21256.67594,1.05681123,0.066666667,44.78,1.142857143,52,11035,80.38886802,0.879647451,0.897667536,50.69807692,4,0.989614915,67,3,45.4,14,5,0.013920792,WBC
136,21410.79307,0.956165306,0.027624309,40.95714286,1.056818182,46.5,11115,67.99074601,0.849533272,0.866757547,46.89148352,4,0.99959693,68.1,7,42.6,6,6,0.013512852,WBC
137,21661.23502,1.175215905,0.085106383,43.7,1.186046512,51,11245,81.41473892,0.905026032,0.851417561,47.28525641,5,0.998349888,60.6,12,70.6,8,10,0,WBC
138,21930.94045,1.117641244,0.056994819,45.63333333,1.120879121,51,11385,80.34536904,0.880654701,0.870835142,49.3974359,5,0.999684969,56.9,5,47.4,9,4,0,WBC
139,21988.7346,1.258669091,0.115789474,45.26666667,1.261904762,53,11415,89.72737685,0.890094105,0.905417111,48.06891026,5,0.996542459,49.9,8,62.7,11,13,0,WBC
140,22181.38147,1.246559359,0.139240506,42.1,1.323529412,45,11515,87.52569533,0.92239809,0.918597688,42.42548077,4,0.995769424,36.1,7,47,11,5,0,WBC
141,22258.44003,1.007199868,0.052631579,38.9,1.111111111,45,11555,67.8933079,0.890224149,0.843466207,46.00576923,4,0.999485674,77.5,4,59.6,10,8,0,WBC
142,22383.66101,1.390743817,0.177142857,43.1,1.430555556,51.5,11620,96.85050185,0.880620342,0.836007069,43.69615385,5,0.991147196,67.1,6,67.5,2,9,0.01,WBC
143,22451.0869,1.060096537,0.099009901,45.44,1.21978022,55.5,11655,87.06423456,0.846729499,0.756648994,45.21153846,5,0.985642919,71.6,6,48.6,4,8,0.01577381,WBC
144,22470.35131,1.070355918,0.063291139,39.08571429,1.135135135,42,11665,69.69241216,0.826404666,0.871127975,39.70192308,5,0.999801835,42.5,12,48.2,9,7,0.008605974,WBC
145,22537.77906,1.11163396,0.271287129,44.06,1.188888889,160.5,11700,82.28215132,0.786067986,0.850134026,46.29038462,4,0.893081638,56.6,9,762.1,7,11,0.00244798,WBC
146,22587.86652,1.173081048,0.096774194,46.22,1.214285714,51,11726,88.15982184,0.907333524,0.867842414,49.22307692,5,0.999723615,62.6,11,46.2,8,5,0,WBC
147,22759.32208,1.844397771,0.31147541,44.63333333,1.904761905,80,11815,133.5426211,0.852713286,0.864685497,49.82692308,4,0.96229839,84.2,9,151.4,6,19,0.060076628,WBC
148,23086.82259,1.153366174,0.125,46.73333333,1.285714286,49.5,11985,94.38241929,0.747815855,0.838801535,46.77083333,5,0.985065426,50.8,4,49.5,7,5,0.024884793,WBC
149,23356.52895,1.327243299,0.142857143,48.85714286,1.333333333,56,12125,102.3261607,0.877630954,0.895117183,51.01510989,4,0.999974174,63.6,5,74.4,7,8,0.02960928,WBC
150,23510.64608,1.200871795,0.124324324,49.825,1.283950617,52,12205,100.4883013,0.863900159,0.863853439,48.75480769,5.5,0.991147196,61.4,10,61.5,9,11,0,WBC
151,23539.54222,1.114723608,0.118012422,43.38571429,1.267605634,45,12220,86.38747686,0.898195819,0.863728972,42.1510989,4.5,0.994150627,40.9,11,50,9,12,0,WBC
152,23672.46989,1.122241998,0.121693122,46.8,1.277108434,53,12289,93.88441467,0.762684869,0.809744804,47.08173077,5,0.999546374,75.8,2,72.2,1,5,0.050154601,WBC
153,23745.67557,1.134080529,0.087179487,46.22857143,1.191011236,53,12327,86.48607911,0.880975935,0.875254017,48.62362637,4,0.999970371,45.1,10,51.8,10,7,0.018474347,WBC
